id,web_name,element_type,form,now_cost,points_per_game,team,status,chance_of_playing_next_round,selected_by_percent,ict_index,influence,creativity,threat,expected_goals,expected_assists,expected_goal_involvements,minutes,bps,event_points,fdr_avg,fixture_count,gw,actual_points
631,Mbaye,3,0.0,6.0,0.0,2,a,100.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,1
57,Petrović,1,2.0,4.5,2.0,3,a,100.0,3.3,7.4,74.0,0.0,0.0,0.0,0.0,0.0,270,33,1,3.0,1,4,1
58,Forster,1,0.0,4.0,0.0,3,a,100.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
59,Dennis,1,0.0,4.0,0.0,3,u,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
60,Hill,2,2.0,5.5,2.0,3,a,100.0,0.8,11.3,54.0,52.8,6.0,0.0,0.76,0.76,270,23,1,3.0,1,4,2
61,Truffert,2,1.7,5.5,1.7,3,a,100.0,3.5,10.1,53.4,40.7,6.0,0.01,0.13,0.14,270,24,0,3.0,1,4,3
62,Diakité,2,0.0,5.0,0.0,3,a,100.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
63,Milosavljević,2,0.0,5.0,0.0,3,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
64,Smith,2,0.7,4.5,0.7,3,a,100.0,0.1,7.8,32.2,41.6,4.0,0.01,0.06,0.07,270,12,0,3.0,1,4,0
65,J.Araujo,2,0.0,4.4,0.0,3,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
66,Soler,2,0.0,4.0,0.0,3,a,100.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
67,Rayan,3,2.0,6.4,2.0,3,a,100.0,2.0,10.4,16.4,15.7,71.0,0.48,0.06,0.54,266,21,2,3.0,1,4,2
68,Tavernier,3,7.0,6.0,7.0,3,a,100.0,3.2,27.6,101.6,68.7,106.0,1.5,0.34,1.84,268,95,10,3.0,1,4,8
69,Scott,3,8.0,6.0,8.0,3,a,100.0,4.5,16.5,72.4,59.8,33.0,0.33,0.3,0.63,266,93,10,3.0,1,4,4
70,Kluivert,3,2.3,6.0,2.3,3,a,100.0,1.0,13.9,22.2,43.2,77.0,0.78,0.06,0.84,229,33,1,3.0,1,4,8
71,Cook,3,2.3,5.0,2.3,3,a,100.0,0.2,2.4,8.4,15.2,0.0,0.0,0.01,0.01,157,23,1,3.0,1,4,0
72,Gannon-Doak,3,0.7,4.9,1.0,3,a,100.0,0.1,1.0,2.2,0.6,7.0,0.02,0.0,0.02,2,6,1,3.0,1,4,1
73,Adams,3,2.0,5.0,2.0,3,a,100.0,0.3,3.1,17.4,13.4,0.0,0.0,0.01,0.01,111,23,4,3.0,1,4,2
74,Brooks,3,0.7,5.0,1.0,3,a,100.0,0.1,0.1,0.0,1.6,0.0,0.0,0.01,0.01,23,5,1,3.0,1,4,0
75,Christie,3,0.7,5.0,1.0,3,a,100.0,0.0,0.3,2.8,0.3,0.0,0.0,0.0,0.0,4,8,1,3.0,1,4,1
76,Tóth.A,3,0.3,5.0,1.0,3,a,100.0,0.0,0.3,2.8,0.6,0.0,0.0,0.0,0.0,15,5,0,3.0,1,4,0
77,Adli,3,0.0,4.9,0.0,3,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
78,Kroupi.Jr,3,0.0,7.4,0.0,3,i,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
79,Evanilson,4,3.7,6.0,3.7,3,a,100.0,3.3,12.1,37.6,39.2,45.0,0.71,0.26,0.97,244,32,2,3.0,1,4,5
80,Enes Ünal,4,0.0,5.5,0.0,3,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
81,Rodríguez,4,0.3,6.0,1.0,3,a,100.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0,3.0,1,4,1
566,Silva,2,2.3,5.0,2.3,3,a,100.0,0.4,10.7,73.8,3.3,30.0,0.27,0.04,0.31,270,24,1,3.0,1,4,3
573,Sanchez,2,0.0,4.5,0.0,3,a,100.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
608,Jebbison,4,0.7,5.0,1.0,3,a,100.0,0.1,2.1,3.4,0.8,17.0,0.1,0.0,0.1,16,10,1,3.0,1,4,0
615,Di Gregorio,1,0.0,4.5,0.0,3,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
82,Kelleher,1,3.7,5.0,3.7,4,a,100.0,6.8,5.7,57.6,0.0,0.0,0.0,0.01,0.01,270,51,2,3.0,1,4,3
83,Valdimarsson,1,0.0,4.5,0.0,4,a,100.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
84,Collins,2,3.3,5.5,3.3,4,d,25.0,1.8,11.4,40.6,22.4,51.0,0.51,0.05,0.56,196,39,1,3.0,1,4,0
85,Van den Berg,2,0.0,4.9,0.0,4,i,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
86,Lewis-Potter,3,6.0,5.5,6.0,4,a,100.0,2.2,22.9,93.8,92.6,43.0,1.03,0.65,1.68,267,70,2,3.0,1,4,1
87,Ajer,2,4.3,4.5,4.3,4,a,100.0,4.9,12.9,69.6,22.2,37.0,0.11,0.03,0.14,270,44,2,3.0,1,4,1
88,Kayode,2,5.3,4.6,5.3,4,a,100.0,9.1,12.9,55.8,17.8,56.0,0.55,0.21,0.76,207,47,1,3.0,1,4,1
89,Henry,2,0.3,4.5,1.0,4,a,100.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,3.0,1,4,0
90,Hickey,2,1.0,4.5,1.0,4,a,100.0,0.1,1.7,11.6,5.4,0.0,0.0,0.02,0.02,61,8,1,3.0,1,4,1
92,Ji-soo,2,0.0,4.5,0.0,4,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
93,Schuster,2,1.3,4.5,4.0,4,a,100.0,0.1,2.1,17.2,0.2,4.0,0.1,0.01,0.11,73,11,4,3.0,1,4,3
94,Schade,3,5.0,6.0,5.0,4,a,100.0,3.9,20.1,64.0,36.2,101.0,0.77,0.2,0.97,267,62,2,3.0,1,4,15
95,O.Dango,3,1.7,6.4,1.7,4,a,100.0,0.7,9.8,23.2,57.6,17.0,0.07,0.38,0.45,140,28,1,3.0,1,4,1
96,Damsgaard,3,4.0,5.5,4.0,4,a,100.0,0.5,15.3,34.2,87.2,31.0,0.03,0.45,0.48,167,56,8,3.0,1,4,1
97,Jensen,3,2.0,5.5,6.0,4,i,0.0,0.1,7.2,12.6,46.2,13.0,0.08,0.34,0.42,66,22,0,3.0,1,4,0
98,Janelt,3,7.0,5.0,7.0,4,a,100.0,1.6,24.0,117.6,77.3,45.0,0.5,0.32,0.82,270,76,11,3.0,1,4,4
99,Milambo,3,0.0,5.0,0.0,4,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
100,Carvalho,3,0.0,5.0,0.0,4,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
102,Yarmoliuk,3,0.7,4.9,0.7,4,a,100.0,0.8,3.4,7.6,16.7,9.0,0.07,0.03,0.1,89,12,0,3.0,1,4,4
103,Dasilva,3,0.0,5.0,0.0,4,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
105,Anthony,3,1.3,6.0,1.3,4,a,100.0,0.1,9.5,13.8,63.0,19.0,0.19,0.42,0.61,128,16,1,3.0,1,4,1
106,Thiago,4,1.3,7.9,1.3,4,a,100.0,11.9,13.8,20.6,11.6,106.0,2.3,0.1,2.4,262,8,2,3.0,1,4,1
107,Furo,4,0.0,4.5,0.0,4,a,100.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
108,Wilson,4,1.0,5.5,1.0,4,a,100.0,0.4,2.6,3.2,10.4,12.0,0.07,0.04,0.11,13,9,1,3.0,1,4,0
565,M.Sangaré,3,6.0,5.7,6.0,4,a,100.0,14.0,14.1,56.0,48.4,40.0,0.41,0.37,0.78,210,57,0,3.0,1,4,4
620,Diouf,2,0.0,4.5,0.0,4,a,100.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,1
109,Verbruggen,1,3.0,4.5,3.0,5,a,100.0,22.2,4.9,46.0,3.0,0.0,0.0,0.2,0.2,270,41,3,2.0,1,4,8
111,Steele,1,0.0,4.0,0.0,5,a,100.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,0
113,F.Kadıoğlu,2,0.7,4.4,1.0,5,a,100.0,1.8,7.2,15.4,29.2,27.0,0.08,0.02,0.1,167,4,2,2.0,1,4,6
114,Boscagli,2,2.3,4.5,2.3,5,a,100.0,0.3,16.6,52.6,96.2,17.0,0.05,0.48,0.53,270,44,2,2.0,1,4,6
